text,label
"Chào bạn, chúng tôi có một ưu đãi đặc biệt dành cho bạn. Nhấn vào đây để biết thêm!",1
"Hi John, how are you doing today? Let's catch up soon.",1
"Bạn đã trúng thưởng một chiếc iPhone 15 Pro Max! Vui lòng cung cấp thông tin cá nhân để nhận giải.",1
"Meeting reminder: Project X review at 2 PM tomorrow.",0
"Mua 1 tặng 1! Giảm giá 50% cho tất cả các mặt hàng trong hôm nay!",1
"Just wanted to follow up on our last conversation.",0
"Cảnh báo: Tài khoản ngân hàng của bạn có hoạt động bất thường. Vui lòng đăng nhập ngay để kiểm tra.",1
"Have a great weekend!",0
"Thông báo tuyển dụng vị trí kỹ sư phần mềm. Yêu cầu:...",1
"Click ngay để nhận 100GB dung lượng miễn phí!",1